lon,lat,distance,waymark
-5.69524,50.07078,1713.0197122625100,
-5.69522,50.07083,1718.759773842560,
-5.69519,50.07089,1725.766619046760,
-5.69514,50.07096,1734.3292848250800,
-5.69508,50.07106,1746.2448327504100,
-5.69503,50.07113,1754.807493256310,
-5.69497,50.07122,1765.6927079545600,
-5.69494,50.07126,1770.6290137940700,
-5.69492,50.0713,1775.3002401104900,
-5.69487,50.0714,1786.978304309520,
-5.69481,50.07153,1802.0545744354700,
-5.6947,50.07179,1832.0122147254100,
-5.69466,50.0719,1844.5723899081900,
-5.69463,50.07199,1854.8064130024400,
-5.69456,50.07213,1871.155680280650,
-5.69452,50.07222,1881.562433135490,
-5.69446,50.07232,1893.477940627060,
-5.69442,50.07239,1901.7685700984300,
-5.69436,50.0725,1914.727903078180,
-5.69428,50.07263,1930.2699148127200,
-5.69421,50.07275,1944.5178369866800,
-5.69404,50.07313,1988.4792250511300,
-5.69401,50.0732,1996.551962423330,
-5.69398,50.07327,2004.6246989659300,
-5.69396,50.07332,2010.3647421162600,
-5.69392,50.07338,2017.6215009809600,
-5.6939,50.07342,2022.2927080158700,
-5.69386,50.07347,2028.5424869300200,
-5.69384,50.0735,2032.1708647819800,
-5.6938,50.07354,2037.4559191527300,
-5.69377,50.07358,2042.3921800642000,
-5.69373,50.07361,2046.7827076073600,
-5.69373,50.07362,2047.89465840914,
-5.69371,50.07364,2050.5371838263000,
-5.69367,50.07367,2054.92770904661,
-5.69365,50.07369,2057.5702336599000,
-5.69363,50.07371,2060.212757951090,
-5.69357,50.07375,2066.3867110608600,
-5.69352,50.07378,2071.2714171462000,
-5.69344,50.07383,2079.240473706830,
-5.69336,50.07388,2087.209526002460,
-5.69328,50.07394,2095.990556703670,
-5.69319,50.074,2105.2514640727500,
-5.69317,50.07402,2107.8939833805800,
-5.69312,50.07406,2113.5961978284600,
-5.693,50.07418,2129.4513030619400,
-5.69288,50.0743,2145.306396720980,
-5.69286,50.07432,2147.948911205590,
-5.69283,50.07435,2151.912682329040,
-5.69281,50.07438,2155.5410498764500,
-5.69271,50.07449,2169.702156146350,
-5.69259,50.07463,2187.469474869800,
-5.69236,50.0748,2212.5041987241300,
-5.69227,50.07486,2221.7650262016100,
-5.69209,50.07495,2238.048631672840,
-5.69168,50.07517,2276.1867689536400,
-5.69143,50.07529,2298.46541763409,
-5.69116,50.07542,2322.5529837071500,
-5.691,50.07549,2336.3716780465500,
-5.6908,50.07556,2352.6286585888800,
-5.69066,50.0756,2363.564733935410,
-5.69053,50.07564,2373.8529603970500,
-5.6904,50.07567,2383.7115828147400,
-5.69022,50.07572,2397.7083693442900,
-5.68999,50.07577,2415.0377401737700,
-5.68969,50.07584,2437.8174288323300,
-5.68964,50.07586,2442.0218400103900,
-5.6889,50.07602,2497.7460574174200,
-5.68876,50.07606,2508.6820452011400,
-5.68845,50.07613,2532.133544325300,
-5.68839,50.07615,2536.958338517240,
-5.68838,50.07615,2537.671953979280,
-5.68838,50.07614,2538.7839047810600,
-5.68837,50.07614,2539.497520392040,
-5.68836,50.07614,2540.211136002960,
-5.68835,50.07614,2540.9247516139400,
-5.68834,50.07614,2541.6383672248700,
-5.68833,50.07614,2542.351982835850,
-5.68832,50.07614,2543.065598446770,
-5.68831,50.07614,2543.7792140576400,
-5.68831,50.07615,2544.891164859420,
-5.6883,50.07615,2545.604780321570,
-5.6883,50.07616,2546.716731124050,
-5.68829,50.07616,2547.430346437310,
-5.68829,50.07617,2548.5422972390900,
-5.68829,50.07618,2549.6542480415800,
-5.68779,50.07629,2587.3732305368600,
-5.68761,50.07633,2600.966533637950,
-5.68749,50.07637,2610.6160887373500,
-5.68734,50.07641,2622.2075678308600,
-5.68718,50.07645,2634.461084463650,
-5.68654,50.07665,2685.258868446470,
-5.68634,50.07672,2701.5155458464500,
-5.68618,50.07677,2714.2149500925600,
-5.68607,50.07681,2723.2371559631700,
-5.68598,50.07684,2730.4742658231900,
-5.68583,50.07689,2742.536107665140,
-5.68568,50.07695,2755.149138474670,
-5.6854,50.07706,2778.576558646520,
-5.68529,50.07711,2788.1956725255200,
-5.68524,50.07713,2792.4000034976300,
-5.68512,50.07719,2803.2554227761000,
-5.68504,50.07723,2810.4923642650500,
-5.68491,50.0773,2822.6020314661600,
-5.68482,50.07737,2832.6932288730600,
-5.68473,50.07745,2843.6649495609700,
-5.68468,50.0775,2850.271108560550,
-5.68462,50.07757,2859.154639876350,
-5.68461,50.07759,2861.4902243850600,
-5.68455,50.07765,2869.4176081904600,
-5.68454,50.07768,2872.828931413300,
-5.68453,50.07769,2874.1501615246100,
-5.68452,50.07771,2876.4857454889800,
-5.6845,50.07773,2879.128205149530,
-5.68449,50.07775,2881.4637889313200,
